web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1662874660-1576","https://www.zillow.com/rodanthe-nc/sold/","24238 N Holiday Blvd #10, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24238-N-Holiday-Blvd-10-Rodanthe-NC-27968/2066851625_zpid/","","","","","","","07/01/2022","24238 N Holiday Blvd #10, Rodanthe, NC 27968","$140,000","$140,000"
"1662874670-1577","https://www.zillow.com/rodanthe-nc/sold/","23180 Corbina Dr, Waves, NC 27982","https://www.zillow.com/homedetails/23180-Corbina-Dr-Waves-NC-27982/228616865_zpid/","1986","10,000 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 10,000 sqftOther property informationParcel number: 011480000","3","2","1,008","12/09/2020","23180 Corbina Dr, Waves, NC 27982","$350,000","$350,000"
"1662874681-1578","https://www.zillow.com/rodanthe-nc/sold/","24250 Dean Ave, Rodanthe, NC 27982","https://www.zillow.com/homedetails/24250-Dean-Ave-Rodanthe-NC-27982/228617390_zpid/","1999","10,001 sqft","Property detailsParkingParking features: CarportPropertySpa included: YesExterior features: VinylView description: TerritorialLotLot size: 10,001 sqftOther property informationParcel number: 012660056","4","2","1,152","09/11/2020","24250 Dean Ave, Rodanthe, NC 27982","$315,000","$315,000"
"1662874691-1579","https://www.zillow.com/rodanthe-nc/sold/","24240 Caribbean Way LOT 16, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24240-Caribbean-Way-LOT-16-Rodanthe-NC-27968/2076061775_zpid/","2005","0.38 Acres","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: Custom, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, BathExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Canal, Ocean, SoundWaterfront features: 3 - lots from oceanfront (4th ro, Beach AccessHas waterview: YesWaterview: Canal,Ocean,SoundLotLot size: 0.38 AcresLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","6","7","3,987","11/23/2020","24240 Caribbean Way LOT 16, Rodanthe, NC 27968","$760,000","$760,000"
"1662874701-1580","https://www.zillow.com/rodanthe-nc/sold/","23168 Corbina Dr W, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23168-Corbina-Dr-W-Rodanthe-NC-27968/228616862_zpid/","1997","10,000 sqft","Property detailsParkingParking features: Garage - AttachedPropertyExterior features: Other, ShingleView description: WaterHas waterview: YesWaterview: WaterLotLot size: 10,000 sqftOther property informationParcel number: 011474000","3","2","1,950","10/13/2020","23168 Corbina Dr W, Rodanthe, NC 27968","$325,000","$325,000"
"1662874712-1581","https://www.zillow.com/rodanthe-nc/sold/","24219 Beulah Oneal Dr, Waves, NC 27982","https://www.zillow.com/homedetails/24219-Beulah-Oneal-Dr-Waves-NC-27982/243986960_zpid/","2005","0.63 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.63 AcresOther property informationParcel number: 012602000","5","5.5","2,604","08/30/2021","24219 Beulah Oneal Dr, Waves, NC 27982","$660,000","$660,000"
"1662874720-1582","https://www.zillow.com/rodanthe-nc/sold/","22063 Sea Gull St, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22063-Sea-Gull-St-Rodanthe-NC-27968/2071503865_zpid/","Built in 1999","No data","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 75,Roadfront: 75Has waterview: YesWaterview: Ocean,SoundLotLot features: Adj. To Common AreaOther property informationZoning description: Res","5","6","2,877","07/08/2021","22063 Sea Gull St, Rodanthe, NC 27968","$610,000",""
"1662874729-1583","https://www.zillow.com/rodanthe-nc/sold/","24251 N Holiday Blvd LOT 64, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24251-N-Holiday-Blvd-LOT-64-Rodanthe-NC-27968/2076060725_zpid/","","","","","","","09/23/2019","24251 N Holiday Blvd LOT 64, Rodanthe, NC 27968","$242,500","$242,500"
"1662874745-1584","https://www.zillow.com/rodanthe-nc/sold/","24217 S Shore Dr LOT 21, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24217-S-Shore-Dr-LOT-21-Rodanthe-NC-27968/2076061443_zpid/","2002","0.55 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, CarportCarport: YesPropertyPrivate pool: YesPool features: Fiberglass, In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: None, Beach AccessFrontage length: Roadfront: 80Has waterview: YesWaterview: SoundLotLot size: 0.55 AcresLot size dimensions: 80 x 298Lot features: LevelOther property informationZoning description: RES","6","5","3,192","09/24/2020","24217 S Shore Dr LOT 21, Rodanthe, NC 27968","$483,500","$483,500"
"1662874755-1585","https://www.zillow.com/rodanthe-nc/sold/","23101 Banzai Lndg, Kill Devil Hills, NC 27982","https://www.zillow.com/homedetails/23101-Banzai-Lndg-Kill-Devil-Hills-NC-27982/86650908_zpid/","2004","0.34 Acres","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.34 AcresOther property informationParcel number: 012464002","7","8","4,365","06/04/2021","23101 Banzai Lndg, Kill Devil Hills, NC 27982","$750,000","$750,000"
