web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1663000983-450","https://www.zillow.com/avon-nc/sold/","39173 Weakfish Dr, Avon, NC 27915","https://www.zillow.com/homedetails/39173-Weakfish-Dr-Avon-NC-27915/228618507_zpid/","1988","6,000 sqft","Property detailsParkingParking features: Paved, Off StreetPropertyPool features: NonePatio and porch details: Covered Decks, Sun DeckView description: Canal, SoundWaterfront features: NoneHas waterview: YesWaterview: Canal,SoundLotLot size: 6,000 sqftLot features: LevelOther property informationParcel number: 013874000Zoning description: Res","3","3","1,248","06/30/2022","39173 Weakfish Dr, Avon, NC 27915","$285,000","$285,000"
"1663000993-451","https://www.zillow.com/avon-nc/sold/","39197 N Albacore Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39197-N-Albacore-Ln-Avon-NC-27915/228618478_zpid/","1967","9,500 sqft","Property detailsParkingTotal spaces: 2Parking features: CarportPropertyExterior features: WoodLotLot size: 9,500 sqftOther property informationParcel number: 013837000","3","2","1,100","10/16/2019","39197 N Albacore Ln, Avon, NC 27915","$223,500","$223,500"
"1663001003-452","https://www.zillow.com/avon-nc/sold/","41191 Silversands Ct LOT 1911, Avon, NC 27915","https://www.zillow.com/homedetails/41191-Silversands-Ct-LOT-1911-Avon-NC-27915/2085538569_zpid/","","","","","","","04/28/2021","41191 Silversands Ct LOT 1911, Avon, NC 27915","$35,000","$35,000"
"1663001014-453","https://www.zillow.com/avon-nc/sold/","41127 Anchor Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41127-Anchor-Ct-Avon-NC-27915/228619357_zpid/","2003","0.34 Acres","Property detailsParkingParking features: No Garage, Paved, Off Street, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, Association Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Patio, Screened Porch, Sun DeckView description: Ocean, SoundWaterfront features: None, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.34 AcresLot size dimensions: 15000Lot features: Cul-De-SacOther property informationParcel number: 014822706Zoning description: R-1","5","5","2,480","05/13/2022","41127 Anchor Ct, Avon, NC 27915","$720,000","$720,000"
"1663001025-454","https://www.zillow.com/avon-nc/sold/","41404 Portside Dr LOT 28, Avon, NC 27915","https://www.zillow.com/homedetails/41404-Portside-Dr-LOT-28-Avon-NC-27915/2099896328_zpid/","","","","","","3,001","07/10/2020","41404 Portside Dr LOT 28, Avon, NC 27915","$28,000","$28,000"
"1663001036-455","https://www.zillow.com/avon-nc/sold/","40112 Marlin Dr, Kitty Hawk, NC 27915","https://www.zillow.com/homedetails/40112-Marlin-Dr-Kitty-Hawk-NC-27915/86665059_zpid/","2004","No Data","Property detailsParkingParking features: Carport, Paved, Off Street, Underground, UnpavedHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, Above Ground, Concrete, Heated, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Screened PorchView description: OceanWaterfront features: 4 - lots from oceanfront (5th ro, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanOther property informationParcel number: 026411000Zoning description: res","4","6","2,867","03/15/2021","40112 Marlin Dr, Kitty Hawk, NC 27915","$555,000","$555,000"
"1663001046-456","https://www.zillow.com/avon-nc/sold/","41199 Brigantine Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41199-Brigantine-Ct-Avon-NC-27915/228619353_zpid/","1993","0.44 Acres","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, AssociationExterior features: Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: Lake/River, Ocean, SoundWaterfront features: Lake Front, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: Lake/River,Ocean,SoundLotLot size: 0.44 AcresLot size dimensions: 19000.00Lot features: Cul-De-SacOther property informationParcel number: 014822701Zoning description: Res","4","3","2,926","11/19/2021","41199 Brigantine Ct, Avon, NC 27915","$560,000","$560,000"
"1663001056-457","https://www.zillow.com/avon-nc/sold/","41912 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41912-Ocean-View-Dr-Avon-NC-27915/250252242_zpid/","1998","0.44 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.44 AcresOther property informationParcel number: 029596055","7","6.5","3,856","06/07/2021","41912 Ocean View Dr, Avon, NC 27915","$675,000","$675,000"
"1663001066-458","https://www.zillow.com/avon-nc/sold/","41396 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41396-Portside-Dr-Avon-NC-27915/228619310_zpid/","2005","5,227 sqft","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 5,227 sqftOther property informationParcel number: 014822258","7","7.5","4,383","11/24/2020","41396 Portside Dr, Avon, NC 27915","$748,000","$748,000"
"1663001077-459","https://www.zillow.com/avon-nc/sold/","40262 Dolphin Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40262-Dolphin-Ln-Avon-NC-27915/228618140_zpid/","1987","6,000 sqft","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneExterior features: Outdoor Shower, StoragePatio and porch details: Sun DeckView description: OceanWaterfront features: 4 - lots from oceanfront (5th ro, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 6,000 sqftLot features: LevelOther property informationParcel number: 013476000Zoning description: R1","3","3","1,600","08/20/2021","40262 Dolphin Ln, Avon, NC 27915","$427,000","$427,000"
"1663001086-460","https://www.zillow.com/avon-nc/sold/","0 State Highway 12 LOT 3, Avon, NC 27915","https://www.zillow.com/homedetails/0-State-Highway-12-LOT-3-Avon-NC-27915/2077696073_zpid/","","","","","","","08/13/2021","0 State Highway 12 LOT 3, Avon, NC 27915","$335,000",""
"1663001097-461","https://www.zillow.com/avon-nc/sold/","41581 Starboard Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41581-Starboard-Dr-Avon-NC-27915/250162302_zpid/","2017","0.29 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPool features: Association Pool, In Ground, Outdoor Pool, AssociationExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Screened PorchWaterfront features: None, Beach AccessLotLot size: 0.29 AcresLot features: LevelOther property informationParcel number: 014822201Zoning description: R-1","4","3","1,910","08/19/2022","41581 Starboard Dr, Avon, NC 27915","$530,000","$530,000"
"1663001107-462","https://www.zillow.com/avon-nc/sold/","42629 State Highway 12, Avon, NC 27915","https://www.zillow.com/homedetails/42629-State-Highway-12-Avon-NC-27915/86653451_zpid/","1991","0.25 Acres","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: Outdoor Pool, Concrete, Custom, Heated, Private Pool, PrivateSpa included: YesSpa features: Private, BathExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, Salt Marsh, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessFrontage length: Waterfront: 60,Roadfront: 60Has waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.25 AcresLot size dimensions: 60 x 82 x 33 x 42 x 60 x 183Lot features: Adj to Park Serv./PreservOther property informationParcel number: 014839000Zoning description: R1","7","8","3,325","02/01/2021","42629 State Highway 12, Avon, NC 27915","$800,000","$800,000"
"1663001117-463","https://www.zillow.com/avon-nc/sold/","41200 Spritsail Ct LOT 1128, Avon, NC 27915","https://www.zillow.com/homedetails/41200-Spritsail-Ct-LOT-1128-Avon-NC-27915/2099050299_zpid/","2020","0.29 Acres","Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneWaterfront features: NoneLotLot size: 0.29 AcresLot features: Corner Lot, LevelOther property informationZoning description: Res","4","3","1,773","10/26/2020","41200 Spritsail Ct LOT 1128, Avon, NC 27915","$395,000","$395,000"
"1663001127-464","https://www.zillow.com/avon-nc/sold/","41470 Portside Dr LOT 12, Avon, NC 27915","https://www.zillow.com/homedetails/41470-Portside-Dr-LOT-12-Avon-NC-27915/2076059990_zpid/","2004","3,000 sqft","Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, Salt MarshWaterfront features: Soundfront, Waterfront, Boardwalk to BeachHas waterview: YesWaterview: Ocean,Salt MarshLotLot size: 3,000 sqftOther property informationZoning description: Res","6","7","4,049","10/20/2020","41470 Portside Dr LOT 12, Avon, NC 27915","$745,000","$745,000"
"1663001138-465","https://www.zillow.com/avon-nc/sold/","42230 Greenwood Pl, Nags Head, NC 27915","https://www.zillow.com/homedetails/42230-Greenwood-Pl-Nags-Head-NC-27915/86667697_zpid/","1994","0.28 Acres","Property detailsParkingParking features: Carport, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: BathExterior features: Outdoor Tennis, Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: Ocean, Park Serv/Preserve, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachFrontage length: Roadfront: 72Has waterview: YesWaterview: Ocean,SoundLotLot size: 0.28 AcresLot size dimensions: 72 x 153 x 81 x 146Lot features: Cul-De-SacOther property informationParcel number: 028639000Zoning description: R1","4","4","2,484","01/24/2022","42230 Greenwood Pl, Nags Head, NC 27915","$680,000","$680,000"
"1663001148-466","https://www.zillow.com/avon-nc/sold/","41194 Costen Light Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41194-Costen-Light-Ct-Avon-NC-27915/228619330_zpid/","2004","0.37 Acres","Property detailsParkingParking features: No Garage, Off Street, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: Fiberglass, In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivateView description: SoundWaterfront features: NoneHas waterview: YesWaterview: SoundLotLot size: 0.37 AcresLot features: Cul-De-SacOther property informationParcel number: 01482261201Zoning description: res","6","6","3,182","03/26/2021","41194 Costen Light Ct, Avon, NC 27915","$549,000","$549,000"
"1663001158-467","https://www.zillow.com/avon-nc/sold/","39157 Weakfish Dr, Avon, NC 27915","https://www.zillow.com/homedetails/39157-Weakfish-Dr-Avon-NC-27915/228618504_zpid/","1978","No Data","Property detailsParkingParking features: Off Street, UnpavedPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Sun DeckView description: SoundWaterfront features: Soundfront, WaterfrontHas waterview: YesWaterview: SoundLotLot features: Cul-De-SacOther property informationParcel number: 013868000Zoning description: R-1","4","2","1,606","01/18/2022","39157 Weakfish Dr, Avon, NC 27915","$465,000","$465,000"
