web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link
"1662995591-1","https://www.zillow.com/avon-nc/sold/","41018 Channel Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41018-Channel-Ct-Avon-NC-27915/228619376_zpid/","1994","0.29 Acres","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Fiberglass, In Ground, Private Pool, PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Lake/River, OceanWaterfront features: Lake Front, Beach AccessResidential vegetation: WoodedHas waterview: YesWaterview: Lake/River,OceanLotLot size: 0.29 AcresLot size dimensions: Cul-de-SacLot features: Cul-De-Sac, LevelOther property informationParcel number: 014822731Zoning description: Res","4","3","1,716","03/23/2021","41018 Channel Ct, Avon, NC 27915","$349,900","$349,900"
"1662995602-2","https://www.zillow.com/avon-nc/sold/","40166 Westerly Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40166-Westerly-Ln-Avon-NC-27915/2081510692_zpid/","","","","","","","11/12/2021","40166 Westerly Ln, Avon, NC 27915","$50,000","$50,000"
"1662995612-3","https://www.zillow.com/avon-nc/sold/","40235 Ellwood Ct, Avon, NC 27915","https://www.zillow.com/homedetails/40235-Ellwood-Ct-Avon-NC-27915/228618091_zpid/","1979","6,000 sqft","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: LightingPatio and porch details: Patio, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 6,000 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 013426000Zoning description: R-1","3","3","1,008","06/24/2022","40235 Ellwood Ct, Avon, NC 27915","$399,000","$399,000"
"1662995622-4","https://www.zillow.com/avon-nc/sold/","41505 Portside Drive #LOT 32, Avon, NC 27915","https://www.zillow.com/homedetails/41505-Portside-Drive-LOT-32-Avon-NC-27915/2096009193_zpid/","","","","","","","02/08/2022","41505 Portside Drive #LOT 32, Avon, NC 27915","$60,000","$60,000"
"1662995632-5","https://www.zillow.com/avon-nc/sold/","41941 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41941-Ocean-View-Dr-Avon-NC-27915/86668947_zpid/","1996","0.44 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: LightingPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.44 AcresLot features: Corner Lot, Level, LandscapedOther property informationParcel number: 029596057Zoning description: Res","6","5","2,820","04/29/2022","41941 Ocean View Dr, Avon, NC 27915","$850,000","$850,000"
"1662995641-6","https://www.zillow.com/avon-nc/sold/","39090 Drum Rd, Avon, NC 27915","https://www.zillow.com/homedetails/39090-Drum-Rd-Avon-NC-27915/228618480_zpid/","1988","7,500 sqft","Property detailsPropertyExterior features: OtherLotLot size: 7,500 sqftOther property informationParcel number: 013839000","4","2","2,100","08/30/2021","39090 Drum Rd, Avon, NC 27915","$265,000","$265,000"
"1662995651-7","https://www.zillow.com/avon-nc/sold/","41179 Fathom Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41179-Fathom-Ct-Avon-NC-27915/308901133_zpid/","2003","0.32 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.32 AcresOther property informationParcel number: 014822813","7","5","3,921","01/25/2021","41179 Fathom Ct, Avon, NC 27915","$529,000","$529,000"
"1662995661-8","https://www.zillow.com/avon-nc/sold/","40234 N Beachcomber Dr, Avon, NC 27915","https://www.zillow.com/homedetails/40234-N-Beachcomber-Dr-Avon-NC-27915/228618200_zpid/","1978","6,000 sqft","Property detailsParkingParking features: Off Street, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Screened Porch, Sun DeckWaterfront features: More than 5th row, Beach Access, Boardwalk to BeachResidential vegetation: WoodedLotLot size: 6,000 sqftLot features: LevelOther property informationParcel number: 013539000Zoning description: Res","3","2","1,050","01/28/2022","40234 N Beachcomber Dr, Avon, NC 27915","$438,000","$438,000"
"1662995671-9","https://www.zillow.com/avon-nc/sold/","40263 Dolphin Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40263-Dolphin-Ln-Avon-NC-27915/228618154_zpid/","1988","5,500 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,500 sqftOther property informationParcel number: 013490000","3","3","1,430","04/13/2020","40263 Dolphin Ln, Avon, NC 27915","$300,000","$300,000"
"1662995681-10","https://www.zillow.com/avon-nc/sold/","40315 Williams Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40315-Williams-Rd-Avon-NC-27915/228632362_zpid/","1981","0.58 Acres","Property detailsPropertyExterior features: WoodLotLot size: 0.58 AcresOther property informationParcel number: 027914001","3","2","1,440","07/10/2020","40315 Williams Rd, Avon, NC 27915","$345,000","$345,000"
"1662995691-11","https://www.zillow.com/avon-nc/sold/","39278 Wahoo Cir, Avon, NC 27915","https://www.zillow.com/homedetails/39278-Wahoo-Cir-Avon-NC-27915/228618233_zpid/","2002","5,998 sqft","Property detailsParkingParking features: CarportPropertySpa included: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,998 sqftOther property informationParcel number: 013571000","4","4","2,112","07/24/2020","39278 Wahoo Cir, Avon, NC 27915","$395,000","$395,000"
"1662995703-12","https://www.zillow.com/avon-nc/sold/","42161 Pheasant Cir, Avon, NC 27915","https://www.zillow.com/homedetails/42161-Pheasant-Cir-Avon-NC-27915/228632199_zpid/","1990","0.25 Acres","Property detailsParkingParking features: CarportPropertySpa included: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.25 AcresOther property informationParcel number: 027817013","4","4","2,350","09/30/2021","42161 Pheasant Cir, Avon, NC 27915","$400,000","$400,000"
"1662995713-13","https://www.zillow.com/avon-nc/sold/","40287 S Beachcomber Dr LOT 124, Avon, NC 27915","https://www.zillow.com/homedetails/40287-S-Beachcomber-Dr-LOT-124-Avon-NC-27915/2076500422_zpid/","1986","8,000 sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun Deck, Roof Top DeckView description: OceanWaterfront features: 2 - lots from oceanfront (3rd roHas waterview: YesWaterview: OceanLotLot size: 8,000 sqftOther property informationZoning description: R-1","4","3","1,664","01/15/2021","40287 S Beachcomber Dr LOT 124, Avon, NC 27915","$420,000","$420,000"
"1662995722-14","https://www.zillow.com/avon-nc/sold/","41057 State Highway 12 #16, Avon, NC 27915","https://www.zillow.com/homedetails/41057-State-Highway-12-16-Avon-NC-27915/228635180_zpid/","1988","","Property detailsParkingParking features: Parking LotPropertyPool features: Association Pool, In Ground, Outdoor Pool, AssociationExterior features: LightingView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanOther property informationParcel number: 014805207Attached to another structure: YesZoning description: res","2","2","1,080","02/17/2022","41057 State Highway 12 #16, Avon, NC 27915","$315,000","$315,000"
"1662995732-15","https://www.zillow.com/avon-nc/sold/","41181 Ocean View Dr #10, Avon, NC 27915","https://www.zillow.com/homedetails/41181-Ocean-View-Dr-10-Avon-NC-27915/2076059331_zpid/","1991","0.34 Acres","Property detailsParkingParking features: Carport, No Garage, Off Street, PavedCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: LevelOther property informationZoning description: Residentia","5","5","3,088","10/30/2020","41181 Ocean View Dr #10, Avon, NC 27915","$659,000","$659,000"
"1662995742-16","https://www.zillow.com/avon-nc/sold/","42197 Askins Creek Dr, Avon, NC 27915","https://www.zillow.com/homedetails/42197-Askins-Creek-Dr-Avon-NC-27915/228619453_zpid/","1995","7,500 sqft","Property detailsParkingTotal spaces: 4PropertyExterior features: ShingleView description: WaterHas waterview: YesWaterview: WaterLotLot size: 7,500 sqftOther property informationParcel number: 014873199","4","3","2,000","07/01/2022","42197 Askins Creek Dr, Avon, NC 27915","$570,000","$570,000"
"1662995752-17","https://www.zillow.com/avon-nc/sold/","39192 Amberjack Ct, Avon, NC 27915","https://www.zillow.com/homedetails/39192-Amberjack-Ct-Avon-NC-27915/228618377_zpid/","1982","6,500 sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, DockPatio and porch details: Sun DeckView description: SoundWaterfront features: Soundfront, Bulkheaded, WaterfrontHas waterview: YesWaterview: SoundLotLot size: 6,500 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 013712000Zoning description: Res","3","3","1,075","06/30/2022","39192 Amberjack Ct, Avon, NC 27915","$550,000","$550,000"
"1662995762-18","https://www.zillow.com/avon-nc/sold/","40289 Dolphin Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40289-Dolphin-Ln-Avon-NC-27915/228618155_zpid/","1969","5,501 sqft","Property detailsPropertyExterior features: WoodView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,501 sqftOther property informationParcel number: 013492000","2","1","800","11/25/2019","40289 Dolphin Ln, Avon, NC 27915","$217,500","$217,500"
"1662995772-19","https://www.zillow.com/avon-nc/sold/","41138 Anchor Ct LOT 709, Avon, NC 27915","https://www.zillow.com/homedetails/41138-Anchor-Ct-LOT-709-Avon-NC-27915/2094211240_zpid/","","","","","","","09/30/2021","41138 Anchor Ct LOT 709, Avon, NC 27915","$97,000","$97,000"
"1662995782-20","https://www.zillow.com/avon-nc/sold/","40485 Ocean Isle Loop LOT 14, Avon, NC 27915","https://www.zillow.com/homedetails/40485-Ocean-Isle-Loop-LOT-14-Avon-NC-27915/2076060322_zpid/","","","","","","","04/13/2020","40485 Ocean Isle Loop LOT 14, Avon, NC 27915","$840,000","$840,000"
"1662995793-21","https://www.zillow.com/avon-nc/sold/","40056 Brinkley Ln, Avon, NC 27915","https://www.zillow.com/homedetails/40056-Brinkley-Ln-Avon-NC-27915/228619058_zpid/","2007","No Data","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneWaterfront features: NoneLotLot features: LevelOther property informationParcel number: 014724002Zoning description: Res","3","2","1,498","02/01/2022","40056 Brinkley Ln, Avon, NC 27915","$240,000","$240,000"
"1662995803-22","https://www.zillow.com/avon-nc/sold/","42655 State Highway 12 LOT 6, Avon, NC 27915","https://www.zillow.com/homedetails/42655-State-Highway-12-LOT-6-Avon-NC-27915/2076059335_zpid/","1980","10,500 sqft","Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 10,500 sqftLot features: LevelOther property informationZoning description: Res","4","3","1,496","12/11/2020","42655 State Highway 12 LOT 6, Avon, NC 27915","$475,000","$475,000"
"1662995813-23","https://www.zillow.com/avon-nc/sold/","40347 N Beachcomber Dr, Avon, NC 27915","https://www.zillow.com/homedetails/40347-N-Beachcomber-Dr-Avon-NC-27915/228618110_zpid/","1979","6,000 sqft","Property detailsParkingParking features: Off StreetPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 6,000 sqftLot features: Adj to Park Serv./Preserv, Cul-De-SacOther property informationParcel number: 013445000Zoning description: Res","3","4","1,844","05/14/2021","40347 N Beachcomber Dr, Avon, NC 27915","$605,000","$605,000"
"1662995822-24","https://www.zillow.com/avon-nc/sold/","40144 Harbor Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40144-Harbor-Rd-Avon-NC-27915/247062900_zpid/","2014","0.34 Acres","Property detailsPropertyExterior features: OtherLotLot size: 0.34 AcresOther property informationParcel number: 014500001","4","3","1,620","08/10/2020","40144 Harbor Rd, Avon, NC 27915","$250,000","$250,000"
"1662995840-25","https://www.zillow.com/avon-nc/sold/","0 Starboard Dr LOT 27, Avon, NC 27915","https://www.zillow.com/homedetails/0-Starboard-Dr-LOT-27-Avon-NC-27915/2073194120_zpid/","","","","","","","06/21/2021","0 Starboard Dr LOT 27, Avon, NC 27915","$48,000","$48,000"
"1662995850-26","https://www.zillow.com/avon-nc/sold/","39178 Seashore Blvd, Avon, NC 27915","https://www.zillow.com/homedetails/39178-Seashore-Blvd-Avon-NC-27915/308901072_zpid/","1972","","Property detailsPropertyExterior features: OtherLotLot size: 6,000 sqftOther property informationParcel number: 013752000","3","1.5","944","03/22/2021","39178 Seashore Blvd, Avon, NC 27915","$249,000","$249,000"
"1662995860-27","https://www.zillow.com/avon-nc/sold/","42306 Greenwood Pl LOT 90, Avon, NC 27915","https://www.zillow.com/homedetails/42306-Greenwood-Pl-LOT-90-Avon-NC-27915/2076061247_zpid/","","","","","","","04/17/2020","42306 Greenwood Pl LOT 90, Avon, NC 27915","$276,000","$276,000"
"1662995870-28","https://www.zillow.com/avon-nc/sold/","42171 Park Dr, Avon, NC 27915","https://www.zillow.com/homedetails/42171-Park-Dr-Avon-NC-27915/228619460_zpid/","1992","0.34 Acres","Property detailsPropertySpa included: YesExterior features: WoodView description: ParkLotLot size: 0.34 AcresOther property informationParcel number: 014875008","3","3","1,941","02/22/2022","42171 Park Dr, Avon, NC 27915","$515,000","$515,000"
"1662995880-29","https://www.zillow.com/avon-nc/sold/","41057 State Highway 12, Avon, NC 27915","https://www.zillow.com/homedetails/41057-State-Highway-12-Avon-NC-27915/228619134_zpid/","1988","","Property detailsPropertyExterior features: OtherOther property informationParcel number: 014805206","2","2","1,078","01/31/2022","41057 State Highway 12, Avon, NC 27915","$300,000","$300,000"
"1662995889-30","https://www.zillow.com/avon-nc/sold/","41531 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41531-Ocean-View-Dr-Avon-NC-27915/86668915_zpid/","1996","0.32 Acres","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: Association Pool, AssociationExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.32 AcresLot features: LevelOther property informationParcel number: 029593306Zoning description: Res","5","6","2,922","06/07/2021","41531 Ocean View Dr, Avon, NC 27915","$975,000","$975,000"
"1662995900-31","https://www.zillow.com/avon-nc/sold/","41165 Portside Dr LOT 1734, Avon, NC 27915","https://www.zillow.com/homedetails/41165-Portside-Dr-LOT-1734-Avon-NC-27915/2080813998_zpid/","","","","","","","02/10/2022","41165 Portside Dr LOT 1734, Avon, NC 27915","$50,500","$50,500"
"1662995909-32","https://www.zillow.com/avon-nc/sold/","42174 Greenwood Pl, Avon, NC 27915","https://www.zillow.com/homedetails/42174-Greenwood-Pl-Avon-NC-27915/228632231_zpid/","1999","0.30 Acres","Property detailsParkingParking features: Carport, Off Street, PavedCarport: YesPropertyPrivate pool: YesPool features: Fiberglass, Heated, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.30 AcresLot features: Corner LotOther property informationParcel number: 027818000Zoning description: Res","6","7","3,536","05/11/2022","42174 Greenwood Pl, Avon, NC 27915","$825,000","$825,000"
"1662995919-33","https://www.zillow.com/avon-nc/sold/","41192 Costen Light Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41192-Costen-Light-Ct-Avon-NC-27915/228619332_zpid/","1988","0.34 Acres","Property detailsParkingParking features: CarportPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.34 AcresOther property informationParcel number: 014822613","5","3","2,258","10/02/2020","41192 Costen Light Ct, Avon, NC 27915","$390,000","$390,000"
"1662995928-34","https://www.zillow.com/avon-nc/sold/","40247 Williams Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40247-Williams-Rd-Avon-NC-27915/2067949989_zpid/","2021","0.53 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: StoragePatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Canal, SoundWaterfront features: Canal Front, WaterfrontHas waterview: YesWaterview: Canal,SoundLotLot size: 0.53 AcresLot features: LevelOther property informationZoning description: Res","3","2","1,283","01/13/2022","40247 Williams Rd, Avon, NC 27915","$499,000","$499,000"
"1662995938-35","https://www.zillow.com/avon-nc/sold/","0 Pony Pasture Dr LOT 6, Avon, NC 27915","https://www.zillow.com/homedetails/0-Pony-Pasture-Dr-LOT-6-Avon-NC-27915/2081449035_zpid/","","","","","","","02/12/2020","0 Pony Pasture Dr LOT 6, Avon, NC 27915","$28,000","$28,000"
"1662995948-36","https://www.zillow.com/avon-nc/sold/","42081 Ocean View Dr, Smithland, NC 27915","https://www.zillow.com/homedetails/42081-Ocean-View-Dr-Smithland-NC-27915/250038493_zpid/","1986","0.34 Acres","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: OtherLotLot size: 0.34 AcresOther property informationParcel number: 029562000","5","7","3,400","09/21/2020","42081 Ocean View Dr, Smithland, NC 27915","$733,500","$733,500"
"1662995958-37","https://www.zillow.com/avon-nc/sold/","0 Mako Ct LOT 37, Avon, NC 27915","https://www.zillow.com/homedetails/0-Mako-Ct-LOT-37-Avon-NC-27915/2068787676_zpid/","","","","","","","09/21/2021","0 Mako Ct LOT 37, Avon, NC 27915","$67,500","$67,500"
"1662995968-38","https://www.zillow.com/avon-nc/sold/","40185 Bonito Rd #8, Avon, NC 27915","https://www.zillow.com/homedetails/40185-Bonito-Rd-8-Avon-NC-27915/228618315_zpid/","1988","","Property detailsParkingParking features: Off-streetPropertyExterior features: OtherOther property informationParcel number: 013648008","2","2","1,110","05/17/2021","40185 Bonito Rd #8, Avon, NC 27915","$220,000","$220,000"
"1662995977-39","https://www.zillow.com/avon-nc/sold/","42013 Ocean View Dr LOT 7, Avon, NC 27915","https://www.zillow.com/homedetails/42013-Ocean-View-Dr-LOT-7-Avon-NC-27915/2076056542_zpid/","1986","0.34 Acres","Property detailsParkingParking features: Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: Cul-De-SacOther property informationZoning description: Res","4","3","2,062","10/30/2020","42013 Ocean View Dr LOT 7, Avon, NC 27915","$606,000","$606,000"
"1662995987-40","https://www.zillow.com/avon-nc/sold/","39283 Wahoo Cir LOT 10, Avon, NC 27915","https://www.zillow.com/homedetails/39283-Wahoo-Cir-LOT-10-Avon-NC-27915/2076056160_zpid/","","","","","","","04/09/2020","39283 Wahoo Cir LOT 10, Avon, NC 27915","$253,000","$253,000"
"1662995997-41","https://www.zillow.com/avon-nc/sold/","41714 Pony Pasture Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41714-Pony-Pasture-Dr-Avon-NC-27915/2070302439_zpid/","2021","No Data","Property detailsParkingParking features: CarportCarport: YesPropertyPool features: Outdoor Pool, Association Pool, AssociationExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered DecksView description: Lake/RiverWaterfront features: Lake Front, WaterfrontHas waterview: YesWaterview: Lake/RiverLotLot features: LevelOther property informationZoning description: Res","3","3","1,507","12/08/2021","41714 Pony Pasture Dr, Avon, NC 27915","$499,000","$499,000"
"1662996007-42","https://www.zillow.com/avon-nc/sold/","42023 Greenwood Pl, Avon, NC 27915","https://www.zillow.com/homedetails/42023-Greenwood-Pl-Avon-NC-27915/86666827_zpid/","2005","0.28 Acres","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: Cement / ConcreteView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.28 AcresOther property informationParcel number: 027818060","5","6","3,238","11/30/2020","42023 Greenwood Pl, Avon, NC 27915","$540,000","$540,000"
"1662996016-43","https://www.zillow.com/avon-nc/sold/","41122 Dory Ln, Avon, NC 27915","https://www.zillow.com/homedetails/41122-Dory-Ln-Avon-NC-27915/228619400_zpid/","2003","0.29 Acres","Property detailsParkingParking features: CarportPropertyPrivate pool: YesSpa included: YesExterior features: Cement / ConcreteLotLot size: 0.29 AcresOther property informationParcel number: 014822815","6","7","3,267","10/09/2020","41122 Dory Ln, Avon, NC 27915","$469,000","$469,000"
"1662996025-44","https://www.zillow.com/avon-nc/sold/","41265 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41265-Ocean-View-Dr-Avon-NC-27915/228619167_zpid/","1994","0.34 Acres","Property detailsParkingParking features: UndergroundHas garage: YesPropertyPool features: Association Pool, AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryView description: OceanWaterfront features: Ocean Front, WaterfrontHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: LevelOther property informationParcel number: 014822004Zoning description: Res","5","6","3,416","02/08/2022","41265 Ocean View Dr, Avon, NC 27915","$1.02M","$1,025,000"
"1662996036-45","https://www.zillow.com/avon-nc/sold/","40237 Dune Way LOT 2, Avon, NC 27915","https://www.zillow.com/homedetails/40237-Dune-Way-LOT-2-Avon-NC-27915/2076059541_zpid/","","","","","","","01/31/2020","40237 Dune Way LOT 2, Avon, NC 27915","$246,500","$246,500"
"1662996045-46","https://www.zillow.com/avon-nc/sold/","41057 Highway 12 #16, Avon, NC 27915","https://www.zillow.com/homedetails/41057-Highway-12-16-Avon-NC-27915/2098981820_zpid/","","","","2","2","1,088","06/01/2020","41057 Highway 12 #16, Avon, NC 27915","$179,000","$179,000"
"1662996056-47","https://www.zillow.com/avon-nc/sold/","39182 N Albacore Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39182-N-Albacore-Ln-Avon-NC-27915/308901923_zpid/","2005","6,000 sqft","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 6,000 sqftOther property informationParcel number: 013799000","4","3","1,570","01/25/2021","39182 N Albacore Ln, Avon, NC 27915","$384,000","$384,000"
"1662996065-48","https://www.zillow.com/avon-nc/sold/","39000 Snook Ct, Avon, NC 27915","https://www.zillow.com/homedetails/39000-Snook-Ct-Avon-NC-27915/228618416_zpid/","1970","No Data","Property detailsParkingParking features: No Garage, Off Street, Underground, UnpavedHas garage: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered DecksWaterfront features: NoneLotLot features: Cul-De-Sac, Level, LandscapedOther property informationParcel number: 013759000Zoning description: RES","4","3","2,050","09/03/2021","39000 Snook Ct, Avon, NC 27915","$465,000","$465,000"
"1662996083-49","https://www.zillow.com/avon-nc/sold/","41194 Fathom Ct, Avon, NC 27915","https://www.zillow.com/homedetails/41194-Fathom-Ct-Avon-NC-27915/228619390_zpid/","1992","0.30 Acres","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: Association Pool, In Ground, Outdoor Pool, AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckWaterfront features: None, Beach Access, Boardwalk to BeachLotLot size: 0.30 AcresLot features: Cul-De-Sac, LevelOther property informationParcel number: 014822805Zoning description: Res","4","3","1,876","03/10/2022","41194 Fathom Ct, Avon, NC 27915","$520,000","$520,000"
"1662996093-50","https://www.zillow.com/avon-nc/sold/","41189 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41189-Portside-Dr-Avon-NC-27915/308901262_zpid/","2005","0.39 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 0.39 AcresOther property informationParcel number: 014822148","6","5.5","2,958","08/19/2020","41189 Portside Dr, Avon, NC 27915","$475,000","$475,000"
"1662996103-51","https://www.zillow.com/avon-nc/sold/","39311 Sandfiddler Ln LOT 52, Avon, NC 27915","https://www.zillow.com/homedetails/39311-Sandfiddler-Ln-LOT-52-Avon-NC-27915/2076057818_zpid/","1999","9,000 sqft","Property detailsParkingParking features: Carport, Off Street, Underground, UnpavedHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach Access, Boardwalk to BeachFrontage length: Waterfront: 70Has waterview: YesWaterview: OceanLotLot size: 9,000 sqftLot features: Adj to Park Serv./PreservOther property informationZoning description: R1","4","4","1,979","11/06/2020","39311 Sandfiddler Ln LOT 52, Avon, NC 27915","$725,000","$725,000"
"1662996113-52","https://www.zillow.com/avon-nc/sold/","39311 Sandfiddler Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39311-Sandfiddler-Ln-Avon-NC-27915/228618254_zpid/","1999","8,999 sqft","Property detailsParkingParking features: CarportPropertySpa included: YesExterior features: WoodLotLot size: 8,999 sqftOther property informationParcel number: 013595000","4","4","1,979","11/06/2020","39311 Sandfiddler Ln, Avon, NC 27915","$725,000","$725,000"
"1662996123-53","https://www.zillow.com/avon-nc/sold/","39308 Sandfiddler Ln LOT 55, Avon, NC 27915","https://www.zillow.com/homedetails/39308-Sandfiddler-Ln-LOT-55-Avon-NC-27915/2099898430_zpid/","1975","No Data","Property detailsParkingParking features: Off Street, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanOther property informationZoning description: RES","3","2","1,128","10/27/2020","39308 Sandfiddler Ln LOT 55, Avon, NC 27915","$420,000","$420,000"
"1662996134-54","https://www.zillow.com/avon-nc/sold/","41439 Ocean View Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41439-Ocean-View-Dr-Avon-NC-27915/228619206_zpid/","2013","No Data","Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot features: LevelOther property informationParcel number: 014822040Zoning description: R-1","6","7","3,984","08/24/2022","41439 Ocean View Dr, Avon, NC 27915","$1.98M","$1,975,000"
