web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,date-sold,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659554508-1364","https://www.zillow.com/frisco-nc/sold/","50820 State Highway 12, Frisco, NC 27936","https://www.zillow.com/homedetails/50820-State-Highway-12-Frisco-NC-27936/228619510_zpid/","1955","null","Property detailsParkingParking features: Detached, UnpavedHas garage: YesPropertyPool features: NoneWaterfront features: Semi-Soundfront, WaterfrontResidential vegetation: WoodedLotLot size: 12.00 AcresOther property informationParcel number: 014880000Zoning description: RES","3","3","3,083","10/27/2021","50820 State Highway 12, Frisco, NC 27936","$550,000","$550,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/3_p/"
"1659551937-892","https://www.zillow.com/rodanthe-nc/","24502 State Highway 12 UNIT 25, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24502-State-Highway-12-UNIT-25-Rodanthe-NC-27968/228617498_zpid/","2009","null","Property detailsPropertyExterior features: OtherLotLot size: 3.40 AcresOther property informationParcel number: 012815005","3","3","1,584","03/30/2021","24502 State Highway 12 UNIT 25, Rodanthe, NC 27968","$390,000","$390,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/4_p/"
"1659554225-1256","https://www.zillow.com/frisco-nc/sold/","52201 Hughes Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/52201-Hughes-Ln-Frisco-NC-27936/86653654_zpid/","1992","3 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, AttachedGarage spaces: 2PropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Covered DecksView description: PondWaterfront features: PondfrontHas waterview: YesWaterview: PondLotLot size: 3 AcresOther property informationParcel number: 014976001Zoning description: S1","3","2","2,030","01/20/2021","52201 Hughes Ln, Frisco, NC 27936","$387,500","$387,500","Chevron Right","https://www.zillow.com/frisco-nc/sold/6_p/"
"1659559950-1644","https://www.zillow.com/avon-nc/sold/","41193 Brigantine Ct LOT 633, Avon, NC 27915","https://www.zillow.com/homedetails/41193-Brigantine-Ct-LOT-633-Avon-NC-27915/2088419718_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Avon","0","null","null","11/07/2019","41193 Brigantine Ct LOT 633, Avon, NC 27915","$330,000","$330,000","Chevron Right","https://www.zillow.com/avon-nc/sold/18_p/"
"1659553831-1103","https://www.zillow.com/frisco-nc/sold/","50269 Snug Harbor Dr LOT 362, Frisco, NC 27936","https://www.zillow.com/homedetails/50269-Snug-Harbor-Dr-LOT-362-Frisco-NC-27936/2076061956_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Frisco","null","null","null","11/01/2019","50269 Snug Harbor Dr LOT 362, Frisco, NC 27936","$307,000","$307,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/10_p/"
"1659554294-1282","https://www.zillow.com/frisco-nc/sold/","50075 Kings Point Dr, Kitty Hawk, NC 27936","https://www.zillow.com/homedetails/50075-Kings-Point-Dr-Kitty-Hawk-NC-27936/247063272_zpid/","1986","8,000 sqft","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor Shower, Storage, DockPatio and porch details: Covered Decks, Patio, Screened PorchView description: CanalWaterfront features: Canal Front, Bulkheaded, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: CanalLotLot size: 8,000 sqftLot size dimensions: 8000 sq. ft.Lot features: LevelOther property informationParcel number: 026448000Zoning description: Res","4","2","1,269","03/08/2021","50075 Kings Point Dr, Kitty Hawk, NC 27936","$281,000","$281,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/5_p/"
"1659555878-1444","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659554095-1206","https://www.zillow.com/frisco-nc/sold/","53221 Ships Timbers Rd, Frisco, NC 27936","https://www.zillow.com/homedetails/53221-Ships-Timbers-Rd-Frisco-NC-27936/308901331_zpid/","1997","0.34 Acres","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.34 AcresOther property informationParcel number: 015168003","3","2","1,352","10/22/2020","53221 Ships Timbers Rd, Frisco, NC 27936","$308,000","$308,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/7_p/"
"1659558002-1546","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/sold/5_p/"
"1659566417-2425","https://www.zillow.com/hatteras-nc/sold/","57031 Lighthouse Ct, Hatteras, NC 27943","https://www.zillow.com/homedetails/57031-Lighthouse-Ct-Hatteras-NC-27943/2081104101_zpid/","No Data","null","Construction detailsType and styleHome type: SingleFamily","7","6","5,229","02/04/2020","57031 Lighthouse Ct, Hatteras, NC 27943","$1.16M","$1,160,152","Chevron Right","https://www.zillow.com/hatteras-nc/sold/9_p/"
"1659569567-2747","https://www.zillow.com/waves-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/waves-nc/sold/2_p/"
"1659566593-2487","https://www.zillow.com/hatteras-nc/sold/","56773 State Highway 12 #210, Hatteras, NC 27943","https://www.zillow.com/homedetails/56773-State-Highway-12-210-Hatteras-NC-27943/2079030892_zpid/","2007","null","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: Vinyl","1","1","560","09/08/2020","56773 State Highway 12 #210, Hatteras, NC 27943","$194,900","$194,900","Chevron Right","https://www.zillow.com/hatteras-nc/sold/7_p/"
"1659569647-2789","https://www.zillow.com/waves-nc/sold/","26154 N Sand Dollar Ct LOT 30, Salvo, NC 27972","https://www.zillow.com/homedetails/26154-N-Sand-Dollar-Ct-LOT-30-Salvo-NC-27972/2097291962_zpid/","null","null","OtherOther factsListing Agreement: Exclusive Right To SellListing Terms: Cash,Lot LoanOwnership: Owned More than 12 MonthsRoad surface type: Paved","null","null","null","06/02/2021","26154 N Sand Dollar Ct LOT 30, Salvo, NC 27972","$95,000","$95,000","",""
"1659552236-1005","https://www.zillow.com/rodanthe-nc/","23178 Corbina Dr W, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23178-Corbina-Dr-W-Rodanthe-NC-27968/2066784399_zpid/","2021","10,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: SoundWaterfront features: NoneHas waterview: YesWaterview: SoundLotLot size: 10,000 sqftLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","3","3","1,398","01/06/2022","23178 Corbina Dr W, Rodanthe, NC 27968","$449,000","$449,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/2_p/"
"1659556738-1499","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/sold/3_p/"
"1659560583-1894","https://www.zillow.com/avon-nc/sold/","39311 Sandfiddler Ln LOT 52, Avon, NC 27915","https://www.zillow.com/homedetails/39311-Sandfiddler-Ln-LOT-52-Avon-NC-27915/2076057818_zpid/","1999","9,000 sqft","Property detailsParkingParking features: Carport, Off Street, Underground, UnpavedHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach Access, Boardwalk to BeachFrontage length: Waterfront: 70Has waterview: YesWaterview: OceanLotLot size: 9,000 sqftLot features: Adj to Park Serv./PreservOther property informationZoning description: R1","4","4","1,979","11/06/2020","39311 Sandfiddler Ln LOT 52, Avon, NC 27915","$725,000","$725,000","Chevron Right","https://www.zillow.com/avon-nc/sold/12_p/"
"1659552003-918","https://www.zillow.com/rodanthe-nc/","23257 State Highway 12, Kill Devil Hills, NC 27982","https://www.zillow.com/homedetails/23257-State-Highway-12-Kill-Devil-Hills-NC-27982/247062520_zpid/","1987","1.03 Acres","Property detailsPropertyPrivate pool: YesExterior features: OtherLotLot size: 1.03 AcresOther property informationParcel number: 012463001","4","3","1,894","05/17/2021","23257 State Highway 12, Kill Devil Hills, NC 27982","$575,000","$575,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/4_p/"
"1659561239-2137","https://www.zillow.com/avon-nc/sold/","39200 Island Creek Dr, Avon, NC 27915","https://www.zillow.com/homedetails/39200-Island-Creek-Dr-Avon-NC-27915/2067896302_zpid/","1994","No Data","Property detailsParkingParking features: No Garage, PavedPropertyPrivate pool: YesPool features: Gunite, Private Pool, Association Pool, Private and AssociationSpa included: YesSpa features: PrivateExterior features: Outdoor Shower, Dock, Dry EntryPatio and porch details: Sun DeckView description: SoundWaterfront features: Soundfront, BulkheadedHas waterview: YesWaterview: SoundLotLot features: Cul-De-SacOther property informationZoning description: R-2","3","3","1,844","01/20/2022","39200 Island Creek Dr, Avon, NC 27915","$650,000","$650,000","Chevron Right","https://www.zillow.com/avon-nc/sold/4_p/"
"1659553807-1094","https://www.zillow.com/frisco-nc/sold/","50178 Toner Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/50178-Toner-Ln-Frisco-NC-27936/228619512_zpid/","2012","0.40 Acres","Property detailsPropertyExterior features: Cement / ConcreteLotLot size: 0.40 AcresOther property informationParcel number: 014883005","3","3","2,339","08/15/2019","50178 Toner Ln, Frisco, NC 27936","$330,000","$330,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/10_p/"
"1659560601-1901","https://www.zillow.com/avon-nc/sold/","42189 Pheasant Ct #132, Avon, NC 27915","https://www.zillow.com/homedetails/42189-Pheasant-Ct-132-Avon-NC-27915/2076062195_zpid/","2020","8,500 sqft","Property detailsParkingParking features: CarportCarport: YesPropertyPool features: NonePatio and porch details: Covered DecksWaterfront features: More than 5th row, Beach AccessLotLot size: 8,500 sqftLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","3","2","1,254","11/13/2020","42189 Pheasant Ct #132, Avon, NC 27915","$319,000","$319,000","Chevron Right","https://www.zillow.com/avon-nc/sold/12_p/"
"1659554262-1271","https://www.zillow.com/frisco-nc/sold/","54127 Marlin Dr, Frisco, NC 27936","https://www.zillow.com/homedetails/54127-Marlin-Dr-Frisco-NC-27936/308901621_zpid/","1986","6,000 sqft","Property detailsPropertyExterior features: OtherLotLot size: 6,000 sqftOther property informationParcel number: 015186013","3","2.5","1,352","02/16/2021","54127 Marlin Dr, Frisco, NC 27936","$540,000","$540,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/5_p/"
"1659564770-2222","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/buxton-nc/sold/3_p/"
"1659560138-1719","https://www.zillow.com/avon-nc/sold/","39310 Wahoo Cir, Avon, NC 27915","https://www.zillow.com/homedetails/39310-Wahoo-Cir-Avon-NC-27915/228618227_zpid/","1986","8,999 sqft","Property detailsPropertySpa included: YesExterior features: OtherLotLot size: 8,999 sqftOther property informationParcel number: 013565000","4","3","2,163","04/29/2020","39310 Wahoo Cir, Avon, NC 27915","$575,000","$575,000","Chevron Right","https://www.zillow.com/avon-nc/sold/16_p/"
"1659554655-1419","https://www.zillow.com/frisco-nc/sold/","54004 Tides Edge Ln, Frisco, NC 27936","https://www.zillow.com/homedetails/54004-Tides-Edge-Ln-Frisco-NC-27936/228619753_zpid/","2004","0.39 Acres","Property detailsPropertyPrivate pool: YesPool features: Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivatePatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Ocean, SoundWaterfront features: 2 - lots from oceanfront (3rd ro, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.39 AcresLot features: Corner Lot, LevelOther property informationParcel number: 01517200101Zoning description: Res","6","6","3,192","03/16/2022","54004 Tides Edge Ln, Frisco, NC 27936","$700,000","$700,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/2_p/"
"1659551958-900","https://www.zillow.com/rodanthe-nc/","23000 Cross Of Honor Way, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23000-Cross-Of-Honor-Way-Rodanthe-NC-27968/2077388186_zpid/","2004","No Data","Property detailsParkingParking features: Off StreetPropertyPrivate pool: YesPool features: Heated, In Ground, Private Pool, PrivateSpa included: YesSpa features: PrivatePatio and porch details: Covered DecksView description: OceanWaterfront features: 4 - lots from oceanfront (5th roHas waterview: YesWaterview: OceanOther property informationZoning description: RES","1","9","4,370","04/09/2021","23000 Cross Of Honor Way, Rodanthe, NC 27968","$875,000","$875,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/4_p/"
"1659567074-2681","https://www.zillow.com/hatteras-nc/sold/","56773 State Highway 12 #101, Hatteras, NC 27943","https://www.zillow.com/homedetails/56773-State-Highway-12-101-Hatteras-NC-27943/250038567_zpid/","2007","null","Property detailsPropertyExterior features: OtherOther property informationParcel number: 027863105","2","2","840","01/26/2022","56773 State Highway 12 #101, Hatteras, NC 27943","$325,500","$325,500","Chevron Right","https://www.zillow.com/hatteras-nc/sold/2_p/"
"1659560480-1856","https://www.zillow.com/avon-nc/sold/","39488 State Highway 12 #1C3, Avon, NC 27915","https://www.zillow.com/homedetails/39488-State-Highway-12-1C3-Avon-NC-27915/228618028_zpid/","1987","null","Property detailsPropertyExterior features: OtherOther property informationParcel number: 013360011","2","2","912","10/15/2020","39488 State Highway 12 #1C3, Avon, NC 27915","$185,000","$185,000","Chevron Right","https://www.zillow.com/avon-nc/sold/13_p/"
"1659560286-1778","https://www.zillow.com/avon-nc/sold/","41189 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41189-Portside-Dr-Avon-NC-27915/228619262_zpid/","2005","0.39 Acres","Property detailsPropertyPrivate pool: YesSpa included: YesExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 0.39 AcresOther property informationParcel number: 01482214801","6","6","2,958","08/19/2020","41189 Portside Dr, Avon, NC 27915","$475,000","$475,000","Chevron Right","https://www.zillow.com/avon-nc/sold/15_p/"
"1659559964-1650","https://www.zillow.com/avon-nc/sold/","40179 Tuna Terrace Ln LOT 9, Avon, NC 27915","https://www.zillow.com/homedetails/40179-Tuna-Terrace-Ln-LOT-9-Avon-NC-27915/2076052091_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Avon","null","null","null","11/15/2019","40179 Tuna Terrace Ln LOT 9, Avon, NC 27915","$6,500","$6,500","Chevron Right","https://www.zillow.com/avon-nc/sold/18_p/"
"1659565722-2344","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
"1659566200-2354","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/hatteras-nc/sold/3_p/"
"1659552074-946","https://www.zillow.com/rodanthe-nc/","24264 Beulah Oneal Dr, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24264-Beulah-Oneal-Dr-Rodanthe-NC-27968/2083218393_zpid/","2009","0.34 Acres","Property detailsParkingTotal spaces: 3Parking features: 3 + Car, Carport, Off Street, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresOther property informationZoning description: Res","6","7","3,395","08/11/2021","24264 Beulah Oneal Dr, Rodanthe, NC 27968","$1.18M","$1,185,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/3_p/"
"1659552084-950","https://www.zillow.com/rodanthe-nc/","24502 State Highway 12 #19, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24502-State-Highway-12-19-Rodanthe-NC-27968/228617496_zpid/","2009","null","Property detailsPropertyExterior features: OtherLotLot size: 3.40 AcresOther property informationParcel number: 012815003","3","3","1,648","08/18/2021","24502 State Highway 12 #19, Rodanthe, NC 27968","$390,000","$390,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/3_p/"
"1659560765-1964","https://www.zillow.com/avon-nc/sold/","40314 Dolphin Ln #76, Avon, NC 27915","https://www.zillow.com/homedetails/40314-Dolphin-Ln-76-Avon-NC-27915/2076501371_zpid/","1970","6,500 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, Underground, UnpavedHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun Deck, Roof Top DeckView description: OceanWaterfront features: Ocean Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 6,500 sqftLot features: Adj to Park Serv./Preserv, Cul-De-Sac, LevelOther property informationZoning description: RES","3","2","1,096","01/26/2021","40314 Dolphin Ln #76, Avon, NC 27915","$400,000","$400,000","Chevron Right","https://www.zillow.com/avon-nc/sold/10_p/"
"1659551577-754","https://www.zillow.com/rodanthe-nc/","24213 S Holiday Blvd LOT 28, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24213-S-Holiday-Blvd-LOT-28-Rodanthe-NC-27968/2076061778_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Rodanthe","null","null","null","06/10/2020","24213 S Holiday Blvd LOT 28, Rodanthe, NC 27968","$350,000","$350,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/8_p/"
"1659561307-2162","https://www.zillow.com/avon-nc/sold/","42169 Askins Creek Dr LOT 65, Avon, NC 27915","https://www.zillow.com/homedetails/42169-Askins-Creek-Dr-LOT-65-Avon-NC-27915/2068673079_zpid/","null","null","HOA and financial detailsOther financial informationAnnual tax amount: $1,395","1","null","null","03/17/2022","42169 Askins Creek Dr LOT 65, Avon, NC 27915","$249,000","$249,000","Chevron Right","https://www.zillow.com/avon-nc/sold/3_p/"
"1659567042-2668","https://www.zillow.com/hatteras-nc/sold/","58211 Sand Rd, Hatteras, NC 27943","https://www.zillow.com/homedetails/58211-Sand-Rd-Hatteras-NC-27943/86654418_zpid/","1978","5,500 sqft","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Paved, Off Street, UndergroundGarage spaces: 1Covered spaces: 1PropertyPool features: NoneWaterfront features: NoneLotLot size: 5,500 sqftOther property informationParcel number: 015818000Zoning description: R2-AH","3","2","1,152","12/01/2021","58211 Sand Rd, Hatteras, NC 27943","$345,000","$345,000","Chevron Right","https://www.zillow.com/hatteras-nc/sold/2_p/"
"1659551858-862","https://www.zillow.com/rodanthe-nc/","24411 Sea Sound Rd, Waves, NC 27982","https://www.zillow.com/homedetails/24411-Sea-Sound-Rd-Waves-NC-27982/86651041_zpid/","1978","3,998 sqft","Property detailsPropertySpa included: YesExterior features: WoodLotLot size: 3,998 sqftOther property informationParcel number: 012615000","4","2","1,520","02/09/2021","24411 Sea Sound Rd, Waves, NC 27982","$330,000","$330,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/5_p/"
"1659566274-2385","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/hatteras-nc/sold/8_p/"
"1659561249-2141","https://www.zillow.com/avon-nc/sold/","40276 Antillas Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40276-Antillas-Rd-Avon-NC-27915/228635178_zpid/","2015","No Data","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: 2 - lots from oceanfront (3rd roHas waterview: YesWaterview: OceanLotLot features: LevelOther property informationParcel number: 014752000Zoning description: R1","4","4","1,848","02/10/2022","40276 Antillas Rd, Avon, NC 27915","$710,000","$710,000","Chevron Right","https://www.zillow.com/avon-nc/sold/3_p/"
"1659566659-2514","https://www.zillow.com/hatteras-nc/sold/","57444 State Highway 12 #C5, Hatteras, NC 27943","https://www.zillow.com/homedetails/57444-State-Highway-12-C5-Hatteras-NC-27943/2079110496_zpid/","2005","null","Property detailsPropertyPrivate pool: YesExterior features: Cement / Concrete","2","3","1,272","10/27/2020","57444 State Highway 12 #C5, Hatteras, NC 27943","$232,000","$232,000","Chevron Right","https://www.zillow.com/hatteras-nc/sold/7_p/"
"1659552224-1000","https://www.zillow.com/rodanthe-nc/","23004 Chicamacomico Ct LOT 24, Rodanthe, NC 27982","https://www.zillow.com/homedetails/23004-Chicamacomico-Ct-LOT-24-Rodanthe-NC-27982/2070513365_zpid/","null","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Ocean Access, Outdoor-Comm. Tennis, Sound AccessOther financial informationAnnual tax amount: $1,161","null","null","null","12/16/2021","23004 Chicamacomico Ct LOT 24, Rodanthe, NC 27982","$225,000","$225,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/2_p/"
"1659567130-2702","https://www.zillow.com/hatteras-nc/sold/","57172 C Deering Ridge Rd LOT 2, Hatteras, NC 27943","https://www.zillow.com/homedetails/57172-C-Deering-Ridge-Rd-LOT-2-Hatteras-NC-27943/2084700369_zpid/","null","null","OtherOther factsListing Agreement: Exclusive Right To SellOwnership: Owned More than 12 Months","0","null","null","06/23/2022","57172 C Deering Ridge Rd LOT 2, Hatteras, NC 27943","$125,000","$125,000","",""
"1659560118-1711","https://www.zillow.com/avon-nc/sold/","42306 Greenwood Pl, Nags Head, NC 27915","https://www.zillow.com/homedetails/42306-Greenwood-Pl-Nags-Head-NC-27915/86667816_zpid/","1983","10,000 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 10,000 sqftOther property informationParcel number: 028703000","4","2","1,404","04/17/2020","42306 Greenwood Pl, Nags Head, NC 27915","$276,000","$276,000","Chevron Right","https://www.zillow.com/avon-nc/sold/16_p/"
"1659557273-1521","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/sold/4_p/"
"1659567124-2700","https://www.zillow.com/hatteras-nc/sold/","57493 Lighthouse Rd, Hatteras, NC 27943","https://www.zillow.com/homedetails/57493-Lighthouse-Rd-Hatteras-NC-27943/228609780_zpid/","1990","0.46 Acres","Property detailsParkingParking features: No Garage, Paved, UndergroundHas garage: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, Fiberglass, In Ground, Private Pool, Public, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.46 AcresLot features: LevelOther property informationParcel number: 00479101702Zoning description: R-1","8","9","5,697","06/09/2022","57493 Lighthouse Rd, Hatteras, NC 27943","$1.75M","$1,750,000","",""
"1659558002-1554","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/sold/5_p/"
"1659564770-2225","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/buxton-nc/sold/3_p/"
"1659554066-1196","https://www.zillow.com/frisco-nc/sold/","51007 Cemetery St LOT 11, Frisco, NC 27936","https://www.zillow.com/homedetails/51007-Cemetery-St-LOT-11-Frisco-NC-27936/2076059254_zpid/","1994","0.40 Acres","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneWaterfront features: NoneLotLot size: 0.40 AcresLot features: LevelOther property informationZoning description: RES","3","1","864","10/01/2020","51007 Cemetery St LOT 11, Frisco, NC 27936","$178,000","$178,000","Chevron Right","https://www.zillow.com/frisco-nc/sold/7_p/"
"1659557273-1509","https://www.zillow.com/avon-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/avon-nc/sold/4_p/"
"1659551874-868","https://www.zillow.com/rodanthe-nc/","23169 Wimble Shoals Dr LOT 2, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23169-Wimble-Shoals-Dr-LOT-2-Rodanthe-NC-27968/2099008550_zpid/","null","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Ocean Access, Sound AccessOther financial informationAnnual tax amount: $433","null","null","null","02/19/2021","23169 Wimble Shoals Dr LOT 2, Rodanthe, NC 27968","$75,000","$75,000","Chevron Right","https://www.zillow.com/rodanthe-nc/sold/5_p/"
"1659566844-2588","https://www.zillow.com/hatteras-nc/sold/","57066 Lighthouse Ct, Hatteras, NC 27943","https://www.zillow.com/homedetails/57066-Lighthouse-Ct-Hatteras-NC-27943/2073100924_zpid/","1999","0.36 Acres","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Outdoor Pool, Fiberglass, Private Pool, PrivateSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.36 AcresLot features: Cul-De-SacOther property informationZoning description: R-2AH","8","9","4,400","04/12/2021","57066 Lighthouse Ct, Hatteras, NC 27943","$830,000","$830,000","Chevron Right","https://www.zillow.com/hatteras-nc/sold/5_p/"
"1659560882-2010","https://www.zillow.com/avon-nc/sold/","39311 Wahoo Cir LOT 17, Avon, NC 27915","https://www.zillow.com/homedetails/39311-Wahoo-Cir-LOT-17-Avon-NC-27915/2075436567_zpid/","No Data","null","Community and Neighborhood DetailsLocationRegion: Avon","null","null","null","04/05/2021","39311 Wahoo Cir LOT 17, Avon, NC 27915","$769,000","$769,000","Chevron Right","https://www.zillow.com/avon-nc/sold/9_p/"
"1659554689-1431","https://www.zillow.com/frisco-nc/sold/","53190 Lands End Way, Frisco, NC 27936","https://www.zillow.com/homedetails/53190-Lands-End-Way-Frisco-NC-27936/86653952_zpid/","2004","0.53 Acres","Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, DockPatio and porch details: Sun DeckView description: Canal, Salt Marsh, SoundWaterfront features: Semi-SoundfrontHas waterview: YesWaterview: Canal,Salt Marsh,SoundLotLot size: 0.53 AcresLot features: LandscapedOther property informationParcel number: 015031007Zoning description: RES","3","3","2,708","07/14/2022","53190 Lands End Way, Frisco, NC 27936","$750,000","$750,000","",""
"1659566245-2383","https://www.zillow.com/hatteras-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/hatteras-nc/sold/6_p/"
"1659564770-2227","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/buxton-nc/sold/3_p/"
"1659560062-1688","https://www.zillow.com/avon-nc/sold/","39252 Sailfish Ln, Avon, NC 27915","https://www.zillow.com/homedetails/39252-Sailfish-Ln-Avon-NC-27915/228618085_zpid/","1985","5,500 sqft","Property detailsPropertyExterior features: OtherView description: WaterHas waterview: YesWaterview: WaterLotLot size: 5,500 sqftOther property informationParcel number: 013419000","3","2","1,133","03/09/2020","39252 Sailfish Ln, Avon, NC 27915","$200,000","$200,000","Chevron Right","https://www.zillow.com/avon-nc/sold/17_p/"
"1659564770-2232","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","Chevron Right","https://www.zillow.com/buxton-nc/sold/3_p/"
"1659564738-2208","https://www.zillow.com/buxton-nc/sold/","null","null","","","","null","null","null","null","null","null","","",""
