StreetAddress,ListingLink-href,YearBuilt,LotSize,Bedrooms,Bathrooms,Size,DateSold,Price,City,Zip,PropertyDetails,PrivatePool,OceanFront,SoundFront,CanalFront,BeachAccess,WaterView,LotsFromOceanFront,MonthsSold
57084 Kohler Dr,https://www.zillow.com/homedetails/57084-Kohler-Dr-Hatteras-NC-27943/86654168_zpid/,1965,0.59,4.0,1.0,1116.0,2020-05-01,165000.0,Hatteras,27943,Property detailsPropertyExterior features: OtherLotLot size: 0.59 AcresOther property informationParcel number: 015559000,0,0,0,0,0,0,0,28.41490207303823
57089 Kohler Dr,https://www.zillow.com/homedetails/57089-Kohler-Dr-Hatteras-NC-27943/228620081_zpid/,1989,0.35,3.0,3.0,1727.0,2020-06-08,200000.0,Hatteras,27943,Property detailsPropertyExterior features: OtherLotLot size: 0.35 AcresOther property informationParcel number: 015579001,0,0,0,0,0,0,0,27.166416477851474
57090 Lighthouse Ct,https://www.zillow.com/homedetails/57090-Lighthouse-Ct-Hatteras-NC-27943/86663944_zpid/,2000,0.34,5.0,6.0,3322.0,2021-02-08,685000.0,Hatteras,27943,"Property detailsParkingParking features: Off Street, Paved, UndergroundHas garage: YesPropertyPrivate pool: YesPool features: In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row), Beach Access, Boardwalk to BeachHas waterview: YesWaterview: OceanLotLot size: 0.34 AcresLot features: Cul-De-Sac, LevelOther property informationParcel number: 025516008Zoning description: Res",1,0,0,0,1,1,0,19.116969877305262
57091 Kohler Dr,https://www.zillow.com/homedetails/57091-Kohler-Dr-Hatteras-NC-27943/228620080_zpid/,1930,0.53,2.0,2.0,1025.0,2020-01-24,225000.0,Hatteras,27943,Property detailsParkingParking features: CarportPropertyExterior features: VinylLotLot size: 0.53 AcresOther property informationParcel number: 015579000,0,0,0,0,0,0,0,31.634680713256717
57111 Kohler Dr,https://www.zillow.com/homedetails/57111-Kohler-Dr-LOT-1-Hatteras-NC-27943/2076059088_zpid/,1998,1.09,3.0,3.0,2208.0,2020-11-18,415000.0,Hatteras,27943,"Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Screened Porch, Sun DeckView description: Canal, Creek/Stream, Ocean, Salt Marsh, SoundWaterfront features: Creekfront, WaterfrontHas waterview: YesWaterview: Canal,Creek/Stream,Ocean,Salt Marsh,SoundLotLot size: 1.09 AcresOther property informationZoning description: RES, Property detailsPropertyExterior features: WoodLotLot size: 1.09 AcresOther property informationParcel number: 015581001",0,0,0,0,0,1,0,21.811070372181952
57135 Lighthouse Rd,https://www.zillow.com/homedetails/57135-Lighthouse-Rd-Hatteras-NC-27943/249682773_zpid/,1982,0.1721763085399449,3.0,3.0,1664.0,2022-04-08,755000.0,Hatteras,27943,"Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Outdoor Shower, Boat LiftPatio and porch details: Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 7,500 sqftLot features: LevelOther property informationParcel number: 028542000Zoning description: RES",0,1,0,0,1,1,0,5.186499025747734
57137 Kohler Dr,https://www.zillow.com/homedetails/57137-Kohler-Dr-Hatteras-NC-27943/2081484728_zpid/,2019,0.76,2.0,2.0,880.0,2020-07-20,425000.0,Hatteras,27943,"nan, Property detailsPropertyExterior features: OtherLotLot size: 0.76 AcresOther property informationParcel number: 015584001",0,0,0,0,0,0,0,25.786511346329267
57146 C Deering Ridge Rd,https://www.zillow.com/homedetails/57146-C-Deering-Ridge-Rd-Hatteras-NC-27943/228620100_zpid/,1915,0.65,5.0,2.0,1948.0,2022-07-15,264500.0,Hatteras,27943,Property detailsParkingParking features: Garage - DetachedPropertyExterior features: OtherLotLot size: 0.65 AcresOther property informationParcel number: 015601000,0,0,0,0,0,0,0,1.9667203855292488
57154 Lighthouse Rd,https://www.zillow.com/homedetails/57154-Lighthouse-Rd-Hatteras-NC-27943/86654456_zpid/,1984,0.1721763085399449,4.0,3.0,1768.0,2021-03-29,395000.0,Hatteras,27943,"Property detailsParkingParking features: Off Street, PavedPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row)Has waterview: YesWaterview: OceanLotLot size: 7,500 sqftLot features: LevelOther property informationParcel number: 015847000Zoning description: Res",0,0,0,0,0,1,0,17.50708055719602
57157 Saxon Cut Dr,https://www.zillow.com/homedetails/57157-Saxon-Cut-Dr-Hatteras-NC-27943/228620026_zpid/,1984,0.19513314967860423,3.0,2.0,1330.0,2021-01-08,325000.0,Hatteras,27943,"Property detailsPropertySpa included: YesExterior features: WoodLotLot size: 8,498 sqftOther property informationParcel number: 015503000, Property detailsParkingParking features: No Garage, Paved, Off Street, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Screened PorchView description: SoundWaterfront features: Semi-SoundfrontHas waterview: YesWaterview: SoundLotLot size: 8,500 sqftLot features: Corner LotOther property informationZoning description: RES",0,0,0,0,0,1,0,20.135471283904984
57167 M V Australia Ln,https://www.zillow.com/homedetails/57167-M-V-Australia-Ln-Hatteras-NC-27943/228619956_zpid/,1950,0.2066115702479339,1.0,1.0,624.0,2021-12-03,350000.0,Hatteras,27943,"Property detailsPropertyExterior features: OtherLotLot size: 9,000 sqftOther property informationParcel number: 015406000",0,0,0,0,0,0,0,9.326214420314358
57170 M V Australia Ln,https://www.zillow.com/homedetails/57170-M-V-Australia-Ln-Hatteras-NC-27943/86654104_zpid/,1974,0.46,4.0,5.0,3901.0,2021-08-26,830000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 2Parking features: 2 Car, Attached, Off Street, Parking Garage, Paved, UndergroundGarage spaces: 2PropertyPool features: NoneSpa included: YesSpa features: Jet TubExterior features: Lighting, Outdoor Shower, Storage, DockPatio and porch details: Sun DeckView description: Canal, Creek/Stream, Salt Marsh, SoundWaterfront features: Canal Front, Bulkheaded, WaterfrontHas waterview: YesWaterview: Canal,Creek/Stream,Salt Marsh,SoundLotLot size: 0.46 AcresLot features: Corner LotOther property informationParcel number: 015408000Zoning description: RES",0,0,0,1,0,1,0,12.578847944616705
57173 Altona Ln,https://www.zillow.com/homedetails/57173-Altona-Ln-Hatteras-NC-27943/86654153_zpid/,1953,0.37,3.0,2.0,1196.0,2021-02-26,110000.0,Hatteras,27943,Property detailsPropertyExterior features: OtherLotLot size: 0.37 AcresOther property informationParcel number: 015548000,0,0,0,0,0,0,0,18.525581963795744
57174 Altona Ln,https://www.zillow.com/homedetails/57174-Altona-Ln-Hatteras-NC-27943/228620048_zpid/,1993,0.29,2.0,1.0,1152.0,2020-03-24,256000.0,Hatteras,27943,Property detailsPropertyExterior features: VinylLotLot size: 0.29 AcresOther property informationParcel number: 015526000,0,0,0,0,0,0,0,29.663387668224992
57175 Altona Ln,https://www.zillow.com/homedetails/57175-Altona-Ln-Hatteras-NC-27943/86654161_zpid/,1925,0.43,3.0,3.0,2989.0,2021-05-21,415000.0,Hatteras,27943,"Property detailsParkingTotal spaces: 2Parking features: 2 Car, Detached, PavedGarage spaces: 2PropertyPool features: NoneExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered DecksView description: Canal, Pond, Sound, Salt Marsh, Creek/StreamWaterfront features: Pondfront, BulkheadedHas waterview: YesWaterview: Canal,Pond,Sound,Salt Marsh,Creek/StreamLotLot size: 0.43 AcresLot features: LandscapedOther property informationParcel number: 015550000Zoning description: R-2AH",0,0,0,0,0,1,0,15.765771700751328
