,Price,ModelPrice,ModelDelta,Bedrooms,OceanFront,Size,BeachAccess,ListingLink-href
61,429000.0,339026.16832062474,89973.83167937526,3.0,0,1640.0,0,https://www.zillow.com/homedetails/50031-Utopia-Ln-Buxton-NC-27936/228617136_zpid/
62,825000.0,677422.2889030431,147577.71109695686,4.0,0,3133.0,0,https://www.zillow.com/homedetails/50092-Kings-Point-Dr-Frisco-NC-27936/228616958_zpid/
63,449000.0,369751.68925809313,79248.31074190687,3.0,0,1855.0,0,https://www.zillow.com/homedetails/50147-Buccaneer-Dr-Frisco-NC-27936/228616941_zpid/
64,389000.0,314923.67137217213,74076.32862782787,2.0,0,1232.0,0,https://www.zillow.com/homedetails/50186-Buccaneer-Dr-Frisco-NC-27936/228617020_zpid/
65,399000.0,355822.12629159883,43177.87370840117,3.0,0,1596.0,0,https://www.zillow.com/homedetails/50313-Spencer-Ln-Buxton-NC-27920/2065426436_zpid/
66,650000.0,414196.5125676405,235803.48743235948,3.0,0,2166.0,0,https://www.zillow.com/homedetails/50534-Timber-Trl-Buxton-NC-27920/2062233514_zpid/
67,1395000.0,775232.0499069233,619767.9500930767,5.0,0,3738.0,0,https://www.zillow.com/homedetails/52171-Mare-Vista-Dr-Frisco-NC-27936/228619539_zpid/
68,410000.0,400393.88848693314,9606.111513066862,3.0,0,1698.0,0,https://www.zillow.com/homedetails/52175-Cardinal-St-Frisco-NC-27936/86653612_zpid/
69,315000.0,368751.32346012903,-53751.32346012903,3.0,0,1848.0,0,https://www.zillow.com/homedetails/52245-Henry-Dr-Frisco-NC-27936/228619588_zpid/
70,324000.0,239863.0154363931,84136.98456360691,3.0,0,1156.0,0,https://www.zillow.com/homedetails/52593-Piney-Ridge-Rd-Frisco-NC-27936/247063281_zpid/
71,250000.0,240995.89454538026,9004.105454619741,2.0,0,1296.0,0,https://www.zillow.com/homedetails/52860-State-Highway-12-Frisco-NC-27936/228635344_zpid/
72,250000.0,220905.25687747006,29094.743122529937,2.0,0,784.0,0,https://www.zillow.com/homedetails/53051-Bowen-Rd-Frisco-NC-27936/2066990417_zpid/
73,797000.0,611444.8072158447,185555.19278415525,4.0,0,2476.0,1,https://www.zillow.com/homedetails/53226-Runboat-Cir-Frisco-NC-27936/250038401_zpid/
74,579000.0,530734.9825746685,48265.01742533152,4.0,0,2230.0,1,https://www.zillow.com/homedetails/53282-Runboat-Cir-Frisco-NC-27936/250038479_zpid/
75,549000.0,397245.06002988183,151754.93997011817,1.0,0,2150.0,0,https://www.zillow.com/homedetails/53321-State-Highway-12-Frisco-NC-27936/2078023663_zpid/
76,1799000.0,919219.2066171444,879780.7933828556,8.0,1,3912.0,1,https://www.zillow.com/homedetails/54053-Sandpiper-Dr-Frisco-NC-27936/228619719_zpid/
77,999000.0,873286.0157490757,125713.98425092432,7.0,0,3912.0,1,https://www.zillow.com/homedetails/54078-Tides-Edge-Ln-Frisco-NC-27936/2065590818_zpid/
78,1850000.0,901786.9343883279,948213.0656116721,8.0,1,4038.0,0,https://www.zillow.com/homedetails/54079-Tides-Edge-Ln-Frisco-NC-27936/2064569076_zpid/
79,599000.0,337321.6516128009,261678.3483871991,4.0,0,1496.0,0,https://www.zillow.com/homedetails/54140-State-Highway-12-Frisco-NC-27936/2062256200_zpid/
